date,NDVIS1,NDVIS2,Ec,Ei,Es
1-Feb-13,0,,2.34,0.261,0.447
1-Mar-13,0.301,,2.554,0.217,0.407
1-Apr-13,0.265666667,,2.309,0.099,0.555
1-May-13,0.224166667,,1.472,0.035,0.507
1-Jun-13,0.199,,1.075,0.009,0.077
1-Jul-13,0.181833333,,0.962,0,0.039
1-Aug-13,0.176166667,,0.967,0.012,0.183
1-Sep-13,0.178166667,,1.157,0.001,0.013
1-Oct-13,0.184666667,,1.292,0.02,0.153
1-Nov-13,0.197,,1.563,0.051,0.967
1-Dec-13,0.218857143,,1.673,0.115,1.57
1-Jan-14,0.2505,,1.717,0.195,1.073
1-Feb-14,0.263,,1.95,0.237,0.658
1-Mar-14,0.265,,2.314,0.188,0.518
1-Apr-14,0.2515,,2.025,0.105,0.489
1-May-14,0.225,,1.58,0.035,0.324
1-Jun-14,0.192333333,,1.146,0.015,0.086
1-Jul-14,0.162166667,,1.017,0.004,0.057
1-Aug-14,0.152,,1.004,0.004,0.047
1-Sep-14,0.1505,,1.109,0.012,0.167
1-Oct-14,0.160666667,,1.318,0.013,0.241
1-Nov-14,0.175666667,,1.507,0.039,0.644
1-Dec-14,0.195428571,,1.626,0.103,1.505
1-Jan-15,0.214,,1.776,0.19,1.067
1-Feb-15,0.2082,,2.449,0.224,0.641
1-Mar-15,0.204857143,,2.744,0.155,0.505
1-Apr-15,0.214,,2.175,0.16,0.49
1-May-15,0.203333333,,1.803,0.025,0.376
1-Jun-15,0.182666667,,1.314,0.002,0.017
1-Jul-15,0.164833333,,1.116,0.003,0.016
1-Aug-15,0.150333333,,1.068,0.002,0.011
1-Sep-15,0.154,0.1975,1.125,0.002,0.015
1-Oct-15,0.179666667,0.276,1.249,0.014,0.102
1-Nov-15,0.2215,0.349,1.626,0.077,1.372
1-Dec-15,0.271285714,0.4085,2.102,0.165,1.251
1-Jan-16,0.3025,0.466,2.283,0.209,0.789
1-Feb-16,0.308166667,0.4915,2.598,0.237,0.585
1-Mar-16,0.292,0.489,2.497,0.261,0.472
1-Apr-16,0.261666667,0.4555,2.056,0.131,0.476
1-May-16,0.229166667,0.407,1.527,0.032,0.357
1-Jun-16,0.198166667,0.344,1.12,0.006,0.054
1-Jul-16,0.1755,0.2845,0.891,0.006,0.034
1-Aug-16,0.162333333,0.244,0.998,0.002,0.034
1-Sep-16,0.153666667,0.2335,1.074,0,0.008
1-Oct-16,0.146142857,0.237,1.216,0.007,0.048
1-Nov-16,0.143333333,0.271,1.486,0.072,0.882
1-Dec-16,0.1465,0.3225,1.954,0.18,1.271
1-Jan-17,0.153166667,0.3835,2.033,0.289,0.813
1-Feb-17,0.163666667,0.4295,2.151,0.289,0.691
1-Mar-17,0.184166667,0.479,1.967,0.255,0.565
1-Apr-17,0.195333333,0.4715,1.843,0.135,0.5
1-May-17,0.195166667,0.4265,1.628,0.066,0.538
1-Jun-17,0.184,0.3645,1.363,0.011,0.185
1-Jul-17,0.1665,0.276,1.149,0.006,0.054
1-Aug-17,0.1595,0.2295,1.103,0.002,0.011
1-Sep-17,0.1595,0.21,1.211,0,0.008
1-Oct-17,0.179714286,0.228,1.353,0.02,0.173
1-Nov-17,0.212,0.2885,1.769,0.109,0.878
1-Dec-17,,0.389,2.297,0.235,1.016
1-Jan-18,,,2.659,0.266,0.714
1-Feb-18,,,2.663,0.345,0.638
1-Mar-18,,,2.56,0.326,0.558
1-Apr-18,,,2.198,0.165,0.578
1-May-18,,,1.656,0.066,0.555
1-Jun-18,,,1.252,0.003,0.116
1-Jul-18,,,0.875,0.015,0.075
1-Aug-18,,,1.118,0,0.046
1-Sep-18,,,1.193,0.002,0.013
1-Oct-18,,,1.304,0.016,0.149
1-Nov-18,,,1.54,0.077,0.873
1-Dec-18,,,1.762,0.205,1.52
1-Jan-19,,,2.168,0.253,1.046
