Year,"Mulungushi, ET (mm/d)",Serenje ET (mm/d)
2013,2,-4
2013,24,17
2013,67,64
2013,82,68
2014,85,70
2014,80,74
2014,62,61
2014,46,40
2014,37,24
2014,33,21
2014,16,7
2014,2,-2
2014,-3,-7
2014,8,7
2014,60,53
2015,77,70
2015,86,75
2015,79,72
2015,67,63
2015,56,42
2015,43,30
2015,6,20
2015,5,6
2015,-11,-2
2015,-15,-10
2015,22,30
2015,71,71
2016,70,70
2016,84,81
2016,85,81
2016,66,58
2016,47,39
2016,39,30
2016,32,22
2016,18,12
2016,-5,-8
2016,-17,-16
2016,34,29
2016,78,76
2017,73,71
2017,80,73
2017,75,74
2017,0,68
2017,0,61
2017,0,41
2017,0,29
2017,0,17
2017,0,-3
2017,0,4
2017,0,54
2017,0,80
2018,0,77
2018,0,65
