date,PM-FAO,Hargreaves,PM General
13-Jan,-0.15,0,
13-Feb,-0.15,0,
13-Mar,-0.15,0,
13-Apr,-0.15,0,
13-May,-0.15,0,
13-Jun,-0.15,0,
13-Jul,-0.15,0,
13-Aug,-0.15,0,
13-Sep,-0.15,0,
13-Oct,-0.15,0,
13-Nov,-0.15,0,
13-Dec,-0.15,0,
14-Jan,-0.15,0,
14-Feb,-0.15,0,
14-Mar,-0.15,0,
14-Apr,-0.15,0,
14-May,-0.15,0,
14-Jun,-0.15,0,
14-Jul,-0.15,0,
14-Aug,-0.15,0,
14-Sep,-0.15,0,
14-Oct,-0.15,0,
14-Nov,-0.15,0,
14-Dec,-0.15,0,
15-Jan,-0.15,0,
15-Feb,-0.15,0,
15-Mar,-0.15,0,
15-Apr,-0.15,0,
15-May,-0.15,0,
15-Jun,3.5,3.56,1.98
15-Jul,4.42,4.3,2.24
15-Aug,5.84,4.82,2.84
15-Sep,7.59,6.22,3.72
15-Oct,8.22,6.19,4.23
15-Nov,7.71,7.47,3.85
15-Dec,5.85,6.61,2.57
16-Jan,4.89,6.49,2.3
16-Feb,2.77,5.93,1.5
16-Mar,2.8,5.74,1.27
16-Apr,2.97,5.33,1.6
16-May,4.37,4.63,2.01
16-Jun,4.3,3.83,1.89
16-Jul,4.56,4.13,2.23
16-Aug,6.45,4.77,2.8
16-Sep,7.65,5.9,3.97
16-Oct,9.53,8.13,3.98
16-Nov,6.98,6.53,3.17
16-Dec,4.09,6.05,1.9
17-Jan,3.4,0,1.22
17-Feb,3.02,0,1.21
17-Mar,3.29,0,1.22
17-Apr,1.97,4.85,1.1
17-May,2.52,4.25,1.27
17-Jun,3.21,3.88,1.51
17-Jul,3.87,3.75,1.74
17-Aug,5.08,4.54,2.44
17-Sep,6.81,6.05,3.42
17-Oct,7.89,7.36,4.15
17-Nov,5.9,6.31,2.58
17-Dec,3.12,6.04,1.35
18-Jan,4.31,7.02,2.23
18-Feb,2.58,5.55,1.25
18-Mar,2.17,5.35,1.1
18-Apr,2.37,5.06,1.24
18-May,2.96,4.54,1.58
18-Jun,4.7,4.58,2.29
18-Jul,3.77,4.49,1.84
18-Aug,6.23,5.48,3.45
18-Sep,8.7,6.55,4.62
18-Oct,10.83,7.4,4.64
18-Nov,6.62,7.95,3.53
18-Dec,2.25,7,1.3
19-Jan,1.68,6.69,0.9
19-Feb,2.06,7.24,1.16
19-Mar,2.89,6.98,1.43
19-Apr,2.43,6.21,1.36
19-May,2.81,5.18,1.61
19-Jun,3.63,4.44,1.74
19-Jul,4.89,4.8,2.53
19-Aug,5.89,5.32,3.11
19-Sep,-0.15,0,
19-Oct,-0.15,0,
19-Nov,-0.15,0,
19-Dec,-0.15,0,
20-Jan,-0.15,0,
20-Feb,-0.15,0,
20-Mar,-0.15,0,
20-Apr,-0.15,0,
20-May,-0.15,0,
20-Jun,1.46,0.96,0.63
20-Jul,-0.15,0,
20-Aug,-0.15,0,
20-Sep,-0.15,0,
20-Oct,-0.15,0,
20-Nov,-0.15,0,
20-Dec,-0.15,0,
21-Jan,-0.15,0,
21-Feb,-0.15,0,
21-Mar,-0.15,0,
21-Apr,-0.15,0,
21-May,-0.15,0,
21-Jun,-0.15,0,
21-Jul,-0.15,0,
21-Aug,-0.15,0,
21-Sep,11.66,2.71,3.49
21-Oct,-0.15,0,
21-Nov,-0.15,0,
21-Dec,-0.15,0,
22-Jan,-0.15,0,
22-Feb,-0.15,0,
22-Mar,-0.15,0,
22-Apr,-0.15,0,
22-May,-0.15,0,
22-Jun,-0.15,0,
22-Jul,-0.15,0,
22-Aug,-0.15,0,
22-Sep,-0.15,0,
22-Oct,-0.15,0,
22-Nov,-0.15,0,
22-Dec,-0.15,0,
23-Jan,-0.15,0,
23-Feb,-0.15,0,
23-Mar,-0.15,0,
23-Apr,-0.15,0,
23-May,-0.15,0,
23-Jun,-0.15,0,
23-Jul,-0.15,0,
23-Aug,-0.15,0,
23-Sep,-0.15,0,
23-Oct,-0.15,0,
23-Nov,-0.15,0,
23-Dec,-0.15,0,
